,time_x,low,high,open,close,volume,pol
264,22-09-2021,40570.42,44035.44,40736.81,43575.1,19462.53865,0.621938894
265,23-09-2021,43096.73,45000,43575.19,44897.59,13446.87469,14.41657731
266,24-09-2021,40683.29,45200,44896.55,42848.92,22451.57711,20.19644886
267,25-09-2021,41675,42998.76,42848.44,42705.51,7383.323903,15.29874987
268,26-09-2021,40803,43937,42705.51,43178.02,9971.645452,10.71388167
269,27-09-2021,42111,44366.96,43172.17,42171.76,10094.771,11.55866767
270,28-09-2021,40897.7,42780,42166.31,41026.07,10491.81363,10.81267828
271,29-09-2021,40750.12,42638.99,41030.19,41522.16,10303.30152,9.671606241
272,30-09-2021,41409.67,44110.17,41519.11,43824.43,12835.98381,13.00922121
273,01-10-2021,43287.44,48500,43828.89,48165.76,20095.33156,15.54781566
274,02-10-2021,47451,48359.33,48165.76,47657.69,7262.634421,20.55377255
275,03-10-2021,47120.11,49300,47663.74,48233.99,7989.259259,11.22185366
276,04-10-2021,46916.7,49505,48233.99,49245.54,13938.64183,17.31581179
277,05-10-2021,49057.18,51906.23,49244.13,51493.99,17828.59727,12.16190356
278,06-10-2021,50416.01,55757.11,51499.77,55339.48,25869.64926,21.82555519
279,07-10-2021,53379,55356.85,55346.95,53797.82,15820.83418,22.80342677
280,08-10-2021,53634.41,56113,53805.46,53963.82,12416.90199,13.27215783
281,09-10-2021,53675,55500,53965.18,54962.29,7123.055124,11.04104258
282,10-10-2021,54112.95,56545.24,54963.29,54690.53,9370.191238,15.89312103
283,11-10-2021,54411.54,57833.23,54683.09,57487.44,13422.42082,14.05111291
284,12-10-2021,53873.78,57674.55,57485.97,56005.1,15457.00896,14.72152357
285,13-10-2021,54236.09,57771.33,56005.1,57367.32,14691.01339,7.352132636
286,14-10-2021,56832.32,58520.71,57367.32,57359.51,12198.02458,11.58093363
287,15-10-2021,56867.11,62910,57359.51,61695.39,27105.19764,13.55387326
288,16-10-2021,60139.01,62350,61690.32,60877.42,10161.2582,21.66575457
289,17-10-2021,58943.83,61744.17,60867.05,61527.11,9153.322735,15.87419387
290,18-10-2021,59887.74,62675.19,61530.07,62042.41,19798.1489,8.286672679
291,19-10-2021,61333,64500,62042.4,64303.14,17380.30486,13.81255195
292,20-10-2021,63525,66999,64303.14,66026.54,19194.45411,26.78631734
293,21-10-2021,62050,66650.85,66021.26,62204.02,23474.39133,24.62666805
294,22-10-2021,60000,63750,62204.01,60687.64,17217.70765,15.58130721
295,23-10-2021,59650,61750,60682.88,61300.01,6708.150138,7.611216931
296,24-10-2021,59522.89,61491.96,61300.02,60854.48,8573.727192,11.68414761
297,25-10-2021,60653.5,63726.58,60847.91,63083.54,10496.58059,18.54833333
298,26-10-2021,59837.07,63290.49,63081.96,60337.62,12181.48145,23.98948112
299,27-10-2021,58100,61488,60333.19,58455.47,18856.68565,12.51265332
300,28-10-2021,57653.88,62477.47,58462.73,60591.65,19354.49898,12.89646254
301,29-10-2021,60188.73,62974,60591.63,62276.72,15497.01102,20.51361158
302,30-10-2021,60725.01,62379.2,62287.95,61892.41,6793.596986,14.91701599
303,31-10-2021,60001,62427.02,61896.38,61343.68,8371.16989,4.669678481
304,01-11-2021,59500,62500,61346.17,60949.54,11724.34162,7.95656259
305,02-11-2021,60672.16,64300,60956.4,63266.51,13694.11539,13.43001157
306,03-11-2021,60070,63568.36,63266.5,62935.41,12951.87181,21.46913931
307,04-11-2021,60728.77,63114.14,62935.4,61444.5,11051.75854,14.94068086
308,05-11-2021,60777,62638.59,61444.49,61006.15,10598.7962,15.60019824
309,06-11-2021,60125,61599.25,61006.14,61539.31,6366.438592,10.59376248
310,07-11-2021,61397.86,63327.96,61539.3,63309.13,5596.024607,15.6874016
311,08-11-2021,63309.12,67792.77,63309.12,67554.84,17661.87297,14.67896122
312,09-11-2021,66261.79,68568.85,67554.13,66944.66,14996.62509,28.87417479
313,10-11-2021,62800,69000,66938.76,64912.2,19030.24518,19.01954082
314,11-11-2021,64133.78,65600,64912.2,64807.59,10259.51472,12.10737605
315,12-11-2021,62300,65477.06,64807.73,64147.9,13658.62658,8.74001761
316,13-11-2021,63394.17,64990,64144.42,64400.01,5968.103548,7.099569384
317,14-11-2021,63596.9,65525,64400.01,65505.02,6081.57226,14.68025974
318,15-11-2021,63371,66339.9,65505.03,63624.59,10426.55523,17.65486953
319,16-11-2021,58638,63624.6,63621.05,60107.98,24910.15267,13.30036248
